timestamp,latitude,longitude,geofence_name,distance_meters,inside,event,alert_active,output_active
2026-04-02 14:30:58,40.744131704,-84.105795369,Main St. Bridge,242.28,False,CHECK,False,False
2026-04-02 14:30:58,40.744131704,-84.105795369,Elm St. Bridge,863.35,False,CHECK,False,False
2026-04-02 14:30:59,40.744127392,-84.105795081,Main St. Bridge,241.81,False,CHECK,False,False
2026-04-02 14:30:59,40.744127392,-84.105795081,Elm St. Bridge,862.91,False,CHECK,False,False
2026-04-02 14:31:00,40.744117742,-84.105798157,Main St. Bridge,240.81,False,CHECK,False,False
2026-04-02 14:31:00,40.744117742,-84.105798157,Elm St. Bridge,862.08,False,CHECK,False,False
2026-04-02 14:31:01,40.744122807,-84.105796014,Main St. Bridge,241.33,False,CHECK,False,False
2026-04-02 14:31:01,40.744122807,-84.105796014,Elm St. Bridge,862.5,False,CHECK,False,False
2026-04-02 14:31:02,40.744123365,-84.105794146,Main St. Bridge,241.35,False,CHECK,False,False
2026-04-02 14:31:02,40.744123365,-84.105794146,Elm St. Bridge,862.48,False,CHECK,False,False
2026-04-02 14:31:03,40.744118849,-84.105796768,Main St. Bridge,240.91,False,CHECK,False,False
2026-04-02 14:31:03,40.744118849,-84.105796768,Elm St. Bridge,862.14,False,CHECK,False,False
2026-04-02 14:31:04,40.744117314,-84.105797592,Main St. Bridge,240.76,False,CHECK,False,False
2026-04-02 14:31:04,40.744117314,-84.105797592,Elm St. Bridge,862.02,False,CHECK,False,False
2026-04-02 14:31:05,40.744114518,-84.10579857,Main St. Bridge,240.47,False,CHECK,False,False
2026-04-02 14:31:05,40.744114518,-84.10579857,Elm St. Bridge,861.78,False,CHECK,False,False
2026-04-02 14:31:06,40.744113075,-84.105798261,Main St. Bridge,240.31,False,CHECK,False,False
2026-04-02 14:31:06,40.744113075,-84.105798261,Elm St. Bridge,861.63,False,CHECK,False,False
2026-04-02 14:31:07,40.744113881,-84.105797388,Main St. Bridge,240.38,False,CHECK,False,False
2026-04-02 14:31:07,40.744113881,-84.105797388,Elm St. Bridge,861.67,False,CHECK,False,False
2026-04-02 14:31:08,40.744103482,-84.105801187,Main St. Bridge,239.32,False,CHECK,False,False
2026-04-02 14:31:08,40.744103482,-84.105801187,Elm St. Bridge,860.8,False,CHECK,False,False
2026-04-02 14:31:09,40.744095474,-84.105802054,Main St. Bridge,238.46,False,CHECK,False,False
2026-04-02 14:31:09,40.744095474,-84.105802054,Elm St. Bridge,860.05,False,CHECK,False,False
2026-04-02 14:31:10,40.744095458,-84.105802095,Main St. Bridge,238.46,False,CHECK,False,False
2026-04-02 14:31:10,40.744095458,-84.105802095,Elm St. Bridge,860.05,False,CHECK,False,False
2026-04-02 14:31:11,40.744091255,-84.105804351,Main St. Bridge,238.05,False,CHECK,False,False
